Tiruppaatrurai Moolanathar -Aadi Mudalvar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s202.html,,
Tiruvaanaikka -- Jambukeswarar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s031.html,,
Tiruppainneeli Neelakantar -Neelivananathar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s220.html,,
Tiruppachilasramam Saameevaneswarar -Maatrarivaalar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s196.html,,
Tiruveengoimalai Maragathachaleswarar -. Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s043.html,,
Vaatpokki Ratnagireeswarar -Vatpokkinathar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s251.html,,
Kadambar Kovil Ananteswarar -Kadambavananathar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s061.html,,
Tirupparaaitturai Dharukavananathar -Paraitturai Nathar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s184.html,,
Tirukkarkudi (Uyyakkondan Malai) Ujjeevaneswarar -Uchinathar Temple  -,,,
Shivastalam.txt,http://www.templenet.com/Tamilnadu/s083.html,,
Uraiyur Panchavarneswarar -. Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s241.html,,
Tiruchirappalli Matrubhuteswarar -Taayumaanavar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s132.html,,
Tiruverumbur . -Erumbeeswarar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s048.html,,
Nedunkalam Nityasundareswarar -Nedunkalanathar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s173.html,,
Melaittirukkattuppalli Agneeswarar -Theeyadiappar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s086.html,,
Tiruvalampozhil Atmanathar -. Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s027.html,,
Tiruppoonturutti Pushpavana Nathar -Poonturutti Nathar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s212.html,,
Tirukkandiyur Veeratteswarar -. Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s068.html,,
Tiruchotrutturai Odanavaneswarar -Oppillachelvar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s142.html,,
Tiruvedikkudi Vedapureeswarar -. Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s270.html,,
Tenkudittittai Vasishteswarar -Pasupateeswarar Temple  - Shivastalam.txt,http://www.templenet.com/Tamilnadu/s154.html,,
